Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Timeclock.csproj,File,ViewTimeEntries.Designer.cs,168,12,T:System.Windows.Forms.BindingSource,,,,,((System.ComponentModel.ISupportInitialize)(this.taskDataSetBindingSource)).EndInit();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Timeclock.csproj,File,ViewTimeEntries.Designer.cs,166,12,T:System.Windows.Forms.DataGridView,,,,,((System.ComponentModel.ISupportInitialize)(this.dataGridView1)).EndInit();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Timeclock.csproj,File,ViewTimeEntries.Designer.cs,165,12,T:System.Windows.Forms.GroupBox,,,,,this.timeEntriesGroupBox.ResumeLayout(false);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Timeclock.csproj,File,ViewTimeEntries.Designer.cs,165,12,M:System.Windows.Forms.Control.ResumeLayout(System.Boolean),,,,,this.timeEntriesGroupBox.ResumeLayout(false);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Timeclock.csproj,File,ViewTimeEntries.Designer.cs,164,12,P:System.Windows.Forms.Form.Text,,,,,"this.Text = ""View Time Entries"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Timeclock.csproj,File,ViewTimeEntries.Designer.cs,163,12,P:System.Windows.Forms.Control.Name,,,,,"this.Name = ""ViewTimeEntries"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Timeclock.csproj,File,ViewTimeEntries.Designer.cs,162,12,T:System.Windows.Forms.Padding,,,,,"this.Margin = new System.Windows.Forms.Padding(4, 4, 4, 4);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Timeclock.csproj,File,ViewTimeEntries.Designer.cs,162,12,"M:System.Windows.Forms.Padding.#ctor(System.Int32,System.Int32,System.Int32,System.Int32)",,,,,"this.Margin = new System.Windows.Forms.Padding(4, 4, 4, 4);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Timeclock.csproj,File,ViewTimeEntries.Designer.cs,162,12,T:System.Windows.Forms.Padding,,,,,"this.Margin = new System.Windows.Forms.Padding(4, 4, 4, 4);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Timeclock.csproj,File,ViewTimeEntries.Designer.cs,162,12,P:System.Windows.Forms.Form.Margin,,,,,"this.Margin = new System.Windows.Forms.Padding(4, 4, 4, 4);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Timeclock.csproj,File,ViewTimeEntries.Designer.cs,161,12,P:System.Windows.Forms.Control.ForeColor,,,,,this.ForeColor = System.Drawing.Color.White;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Timeclock.csproj,File,ViewTimeEntries.Designer.cs,160,12,T:System.Windows.Forms.GroupBox,,,,,this.Controls.Add(this.timeEntriesGroupBox);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Timeclock.csproj,File,ViewTimeEntries.Designer.cs,160,12,T:System.Windows.Forms.Control.ControlCollection,,,,,this.Controls.Add(this.timeEntriesGroupBox);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Timeclock.csproj,File,ViewTimeEntries.Designer.cs,160,12,P:System.Windows.Forms.Control.Controls,,,,,this.Controls.Add(this.timeEntriesGroupBox);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Timeclock.csproj,File,ViewTimeEntries.Designer.cs,160,12,M:System.Windows.Forms.Control.ControlCollection.Add(System.Windows.Forms.Control),,,,,this.Controls.Add(this.timeEntriesGroupBox);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Timeclock.csproj,File,ViewTimeEntries.Designer.cs,159,12,P:System.Windows.Forms.Form.ClientSize,,,,,"this.ClientSize = new System.Drawing.Size(389, 327);"
